Runtime ,Roll (deg),Pitch (deg),G-Force (g),Magnetometer X-Axis (gauss),Magnetometer Y-Axis (gauss),Magnetometer Z-Axis (gauss),Gyroscope X-Axis (deg/s),Gyroscope Y-Axis (deg/s),Gyroscope Z-Axis (deg/s),Accelerometer X-Axis (g),Accelerometer Y-Axis (g),Accelerometer Z-Axis (g)
11608,3.80,-84.89,1.00,0.02,-0.29,-0.17,134.22,-7.97,-0.23,-0.99,0.07,-0.06,
11688,-1.65,-86.25,1.18,0.01,-0.27,-0.23,286.68,-1.14,-4.36,-1.18,-0.03,0.07,
11768,-5.44,-78.51,1.03,0.02,-0.22,-0.28,170.91,6.65,-5.11,-1.01,-0.10,0.18,
11848,-5.51,-78.24,1.02,0.02,-0.22,-0.29,-144.49,-8.99,5.46,-1.00,-0.10,0.18,
11928,-2.88,-85.20,1.18,0.01,-0.26,-0.23,-286.72,-5.34,5.46,-1.17,-0.06,0.08,
12008,3.14,-85.36,1.01,0.01,-0.29,-0.18,-160.67,4.12,1.15,-1.01,0.06,-0.06,
12091,2.81,-85.50,1.01,0.01,-0.28,-0.18,164.53,-7.35,-1.66,-1.00,0.05,-0.06,
12171,-2.96,-85.42,1.17,0.01,-0.26,-0.24,286.68,-0.58,-1.34,-1.17,-0.06,0.07,
12251,-4.62,-79.22,1.01,0.01,-0.22,-0.29,136.24,2.41,-1.13,-1.00,-0.08,0.17,
12331,-4.60,-79.41,1.03,0.01,-0.22,-0.28,-178.74,-8.62,3.33,-1.01,-0.08,0.17,
12411,-1.85,-87.29,1.17,0.02,-0.27,-0.23,-286.72,0.73,0.21,-1.17,-0.04,0.04,
12492,3.77,-84.31,1.00,0.02,-0.30,-0.17,-120.71,4.04,0.87,-0.99,0.07,-0.07,
12574,2.32,-86.45,1.03,0.01,-0.29,-0.19,195.81,-9.91,0.52,-1.03,0.04,-0.05,
12654,-2.93,-84.10,1.17,0.01,-0.25,-0.24,286.68,1.50,-3.61,-1.16,-0.06,0.10,
12734,-5.12,-78.73,1.00,0.01,-0.22,-0.29,95.79,4.04,-3.17,-0.98,-0.09,0.17,
12815,-4.27,-80.24,1.06,0.02,-0.23,-0.27,-206.89,-9.41,5.57,-1.04,-0.08,0.16,
12895,-1.52,-87.29,1.16,0.01,-0.27,-0.22,-286.72,-1.13,4.77,-1.16,-0.03,0.05,
12975,3.93,-85.12,0.98,0.01,-0.29,-0.17,-83.05,1.41,1.30,-0.98,0.07,-0.05,
13055,1.52,-87.34,1.06,0.01,-0.29,-0.19,217.72,-7.35,-1.86,-1.06,0.03,-0.04,
13138,-3.74,-83.27,1.14,0.01,-0.25,-0.25,286.68,3.49,-3.50,-1.14,-0.07,0.11,
13218,-5.05,-78.56,1.00,0.01,-0.22,-0.29,56.88,-0.50,-0.05,-0.98,-0.09,0.18,
13298,-4.15,-81.39,1.08,0.02,-0.24,-0.27,-234.68,-10.06,4.71,-1.06,-0.08,0.14,
13378,-0.25,-89.58,1.13,0.01,-0.28,-0.21,-286.61,3.61,0.05,-1.13,-0.00,0.01,
13458,4.42,-83.81,0.98,0.02,-0.29,-0.17,-44.07,0.12,-0.04,-0.98,0.08,-0.07,
13538,1.21,-88.43,1.07,0.01,-0.29,-0.20,242.24,-9.11,1.29,-1.07,0.02,-0.02,
13621,-3.27,-82.42,1.13,0.01,-0.24,-0.25,276.99,3.28,-2.54,-1.12,-0.06,0.13,
13701,-4.94,-78.45,0.99,0.02,-0.21,-0.29,17.46,0.04,-1.04,-0.97,-0.09,0.18,
13781,-4.18,-81.94,1.10,0.01,-0.24,-0.26,-259.68,-8.04,4.37,-1.09,-0.08,0.13,
13861,-0.77,-89.04,1.11,0.01,-0.28,-0.20,-268.04,2.53,3.21,-1.11,-0.01,0.01,
13941,4.15,-84.75,0.98,0.02,-0.29,-0.17,0.49,-2.12,0.61,-0.98,0.07,-0.06,
14021,0.17,-88.58,1.10,0.01,-0.28,-0.21,263.74,-5.51,-3.41,-1.10,0.00,0.03,
14101,-4.26,-80.84,1.11,0.01,-0.24,-0.26,254.10,6.17,-5.65,-1.10,-0.08,0.16,
14184,-5.32,-78.26,0.99,0.01,-0.21,-0.28,-27.69,-3.95,2.11,-0.97,-0.09,0.18,
14264,-3.53,-82.23,1.13,0.01,-0.24,-0.25,-279.66,-8.86,5.64,-1.12,-0.07,0.14,
14344,1.31,-88.40,1.08,0.01,-0.28,-0.19,-234.60,4.68,1.12,-1.08,0.02,-0.02,
14424,4.15,-84.33,0.99,0.01,-0.29,-0.17,41.29,-3.45,-0.37,-0.98,0.07,-0.07,
14505,-0.38,-89.14,1.12,0.01,-0.27,-0.21,281.33,-6.45,0.60,-1.12,-0.01,0.02,
14585,-3.70,-81.28,1.08,0.01,-0.23,-0.27,220.91,3.72,-1.92,-1.07,-0.07,0.15,
14665,-4.22,-78.95,1.00,0.01,-0.22,-0.28,-61.45,-3.67,1.15,-0.98,-0.07,0.18,
14747,-2.86,-84.29,1.14,0.01,-0.26,-0.24,-286.34,-4.65,1.65,-1.14,-0.06,0.10,
14827,1.81,-87.56,1.05,0.01,-0.29,-0.18,-199.85,4.19,1.73,-1.05,0.03,-0.03,
14907,3.96,-85.28,0.99,0.01,-0.29,-0.16,81.94,-5.27,0.38,-0.99,0.07,-0.04,
14987,-1.25,-87.73,1.15,0.01,-0.27,-0.22,286.02,-2.55,-3.41,-1.15,-0.03,0.04,
15067,-4.65,-79.84,1.06,0.01,-0.23,-0.28,184.60,5.95,-5.10,-1.04,-0.09,0.17,
15147,-5.13,-78.83,1.01,0.01,-0.22,-0.28,-98.63,-4.60,4.01,-0.99,-0.09,0.17,
15230,-2.77,-84.70,1.15,0.01,-0.26,-0.24,-286.72,-5.56,5.44,-1.15,-0.06,0.09,
15310,2.53,-86.69,1.03,0.01,-0.28,-0.19,-160.14,3.11,1.38,-1.03,0.05,-0.04,
15390,3.19,-86.00,1.01,0.01,-0.29,-0.18,124.81,-5.64,-1.43,-1.01,0.06,-0.04,
15470,-2.10,-85.89,1.15,0.01,-0.26,-0.24,286.52,-2.08,-1.15,-1.15,-0.04,0.07,
15550,-4.24,-80.24,1.03,0.02,-0.22,-0.28,143.60,2.53,-1.07,-1.02,-0.08,0.16,
15630,-3.76,-80.02,1.03,0.01,-0.22,-0.28,-140.63,-6.89,3.03,-1.01,-0.07,0.16,
15710,-2.16,-86.09,1.14,0.01,-0.26,-0.23,-286.63,-0.90,0.66,-1.14,-0.04,0.06,
15793,3.35,-85.20,1.02,0.01,-0.29,-0.18,-117.68,4.41,0.16,-1.02,0.06,-0.06,
15873,2.62,-86.63,1.03,0.01,-0.28,-0.19,161.10,-7.65,0.81,-1.02,0.05,-0.04,
15953,-2.31,-85.34,1.15,0.02,-0.26,-0.24,283.61,0.18,-2.51,-1.14,-0.05,0.08,
16033,-4.72,-79.02,1.02,0.01,-0.22,-0.29,100.02,3.48,-3.00,-1.00,-0.08,0.18,
16113,-4.39,-79.63,1.05,0.02,-0.23,-0.28,-174.76,-7.99,4.31,-1.03,-0.08,0.17,
16193,-1.58,-86.97,1.14,0.02,-0.27,-0.21,-280.67,-1.58,4.83,-1.13,-0.03,0.05,
16276,3.94,-85.28,1.00,0.01,-0.29,-0.18,-71.84,0.88,1.27,-1.00,0.07,-0.05,
16356,1.30,-88.41,1.06,0.02,-0.29,-0.20,197.06,-5.61,-2.38,-1.06,0.02,-0.02,
16436,-3.40,-83.28,1.13,0.01,-0.25,-0.26,268.56,0.00,-3.37,-1.12,-0.07,0.11,
16516,-3.65,-79.27,1.01,0.02,-0.22,-0.29,53.58,-0.66,0.04,-0.99,-0.06,0.18,
16596,-3.62,-80.95,1.08,0.01,-0.24,-0.27,-212.44,-8.18,2.27,-1.07,-0.07,0.16,
16676,0.08,-88.66,1.12,0.01,-0.28,-0.21,-260.34,2.50,0.71,-1.12,0.00,0.03,
16756,4.04,-84.64,0.99,0.01,-0.30,-0.18,-34.24,-0.35,0.11,-0.98,0.07,-0.06,
16839,0.86,-89.11,1.09,0.02,-0.29,-0.21,225.72,-7.57,0.90,-1.09,0.02,-0.00,
16919,-2.83,-82.84,1.11,0.01,-0.24,-0.26,244.25,2.64,-2.46,-1.10,-0.05,0.13,
16999,-4.28,-79.34,1.00,0.01,-0.22,-0.28,4.90,-0.49,-0.75,-0.99,-0.07,0.17,
17079,-3.46,-82.80,1.10,0.01,-0.24,-0.26,-238.69,-6.21,3.54,-1.09,-0.07,0.12,
17159,0.44,-89.53,1.09,0.01,-0.28,-0.20,-232.50,1.90,2.84,-1.09,0.01,0.00,
17239,3.84,-84.94,1.00,0.01,-0.29,-0.18,15.26,-2.50,0.56,-0.99,0.07,-0.06,
17319,-0.13,-88.44,1.11,0.01,-0.28,-0.21,245.02,-3.91,-3.01,-1.11,-0.00,0.03,
17402,-4.02,-81.07,1.08,0.01,-0.24,-0.26,211.40,4.72,-4.37,-1.07,-0.08,0.15,
17482,-4.83,-78.75,1.01,0.01,-0.22,-0.28,-41.41,-4.83,2.77,-0.99,-0.08,0.18,
17562,-2.93,-83.46,1.13,0.01,-0.25,-0.25,-257.47,-7.29,5.17,-1.12,-0.06,0.11,
17642,1.98,-87.94,1.06,0.01,-0.28,-0.20,-196.32,3.28,0.88,-1.06,0.04,-0.01,
17722,3.68,-85.19,1.00,0.01,-0.28,-0.18,62.64,-3.80,-0.39,-1.00,0.06,-0.05,
17802,-0.56,-88.38,1.12,0.01,-0.27,-0.23,260.92,-4.93,0.08,-1.12,-0.01,0.03,
17885,-3.35,-80.77,1.06,0.01,-0.23,-0.27,172.32,2.66,-1.41,-1.05,-0.06,0.16,
17965,-3.32,-80.59,1.02,0.01,-0.22,-0.27,-88.95,-4.56,2.02,-1.01,-0.06,0.16,
18045,-1.75,-85.40,1.13,0.01,-0.26,-0.24,-266.17,-2.58,1.53,-1.13,-0.03,0.08,
18125,2.52,-87.08,1.04,0.01,-0.28,-0.18,-155.18,2.86,1.13,-1.04,0.05,-0.03,
18205,3.40,-86.19,1.02,0.01,-0.29,-0.19,106.80,-5.37,0.32,-1.01,0.06,-0.03,
18285,-1.54,-85.85,1.14,0.02,-0.26,-0.23,265.10,-0.90,-3.32,-1.14,-0.03,0.08,
18365,-4.17,-79.89,1.04,0.01,-0.23,-0.28,134.86,3.89,-3.46,-1.03,-0.08,0.17,
18448,-4.33,-80.03,1.04,0.02,-0.23,-0.28,-134.60,-7.05,2.32,-1.02,-0.08,0.16,
18528,-2.27,-85.98,1.13,0.02,-0.27,-0.23,-264.06,-3.54,4.71,-1.13,-0.04,0.07,
18608,2.97,-86.31,1.02,0.01,-0.29,-0.18,-107.06,1.61,1.28,-1.01,0.05,-0.04,
18688,2.31,-87.55,1.04,0.01,-0.29,-0.19,149.80,-5.62,-1.04,-1.04,0.04,-0.01,
18768,-2.14,-85.01,1.13,0.01,-0.26,-0.25,258.28,-0.26,-1.42,-1.13,-0.04,0.09,
18848,-3.73,-80.28,1.02,0.01,-0.22,-0.28,88.96,0.25,-0.22,-1.01,-0.07,0.16,
18931,-3.16,-81.51,1.06,0.01,-0.23,-0.26,-173.04,-6.69,2.69,-1.05,-0.06,0.15,
19011,-0.29,-88.02,1.12,0.01,-0.27,-0.22,-252.35,1.37,0.19,-1.12,-0.01,0.04,
19091,3.48,-85.28,1.00,0.01,-0.29,-0.18,-59.20,0.50,0.72,-1.00,0.06,-0.06,
19171,2.40,-87.59,1.05,0.01,-0.28,-0.20,184.66,-6.50,0.40,-1.05,0.04,0.00,
19251,-2.61,-83.63,1.12,0.02,-0.26,-0.25,240.49,1.86,-2.99,-1.11,-0.05,0.11,
19331,-7.30,-72.48,1.07,0.01,-0.23,-0.28,-10.64,3.58,4.03,-1.02,-0.14,0.29,
19411,0.42,-85.01,1.32,0.01,-0.25,-0.25,-207.76,7.00,-0.61,-1.32,0.01,0.11,
19493,27.59,-61.47,1.41,0.00,-0.27,-0.21,-126.50,-14.95,-24.59,-1.24,0.65,0.17,
19573,-6.90,-69.24,1.01,0.01,-0.27,-0.21,41.19,11.89,-7.94,-0.95,-0.12,0.34,
19653,8.49,-78.07,1.11,0.01,-0.27,-0.21,15.27,14.25,-4.47,-1.08,0.16,0.16,
19733,-2.89,-83.73,1.09,0.01,-0.27,-0.21,-5.66,-6.43,4.03,-1.08,-0.05,0.11,
19813,0.84,-88.82,1.13,0.01,-0.27,-0.22,4.26,-6.65,-0.65,-1.13,0.02,0.02,
19893,3.12,-81.20,1.10,0.02,-0.27,-0.22,6.05,-3.65,-0.66,-1.09,0.06,0.16,
19973,-6.25,-83.63,1.02,0.01,-0.27,-0.21,5.90,-0.31,3.61,-1.01,-0.11,-0.02,
20056,2.37,-86.28,1.05,0.01,-0.27,-0.21,-3.86,-4.71,-1.84,-1.05,0.04,0.05,
20136,-0.14,-88.12,1.01,0.01,-0.27,-0.21,5.18,-14.33,4.56,-1.01,-0.00,-0.03,
20216,3.23,-86.38,1.02,0.01,-0.27,-0.20,7.07,-4.85,-3.61,-1.02,0.06,0.03,
20296,-0.46,-85.40,1.04,0.00,-0.27,-0.20,-2.07,18.66,4.45,-1.04,-0.01,-0.08,
20376,-0.99,-86.75,1.05,0.01,-0.27,-0.21,-1.15,-5.75,0.22,-1.05,-0.02,0.06,
20457,6.98,-82.96,1.03,0.01,-0.27,-0.20,-2.97,-15.40,-0.92,-1.02,0.13,0.02,
