Runtime ,Roll (deg),Pitch (deg),G-Force (g),Magnetometer X-Axis (gauss),Magnetometer Y-Axis (gauss),Magnetometer Z-Axis (gauss),Gyroscope X-Axis (deg/s),Gyroscope Y-Axis (deg/s),Gyroscope Z-Axis (deg/s),Accelerometer X-Axis (g),Accelerometer Y-Axis (g),Accelerometer Z-Axis (g)
6683,0.28,-87.67,1.17,0.01,-0.28,-0.22,286.68,-10.22,-0.40,-1.17,0.01,-0.05,
6763,-8.02,-77.78,1.06,0.02,-0.23,-0.29,258.76,12.48,-3.48,-1.03,-0.15,0.17,
6843,-8.78,-76.28,0.99,0.02,-0.22,-0.30,-182.60,-11.35,2.67,-0.96,-0.15,0.18,
6923,-2.36,-87.63,1.22,0.02,-0.27,-0.23,-286.72,-4.43,4.66,-1.22,-0.05,-0.00,
7003,7.93,-80.57,0.94,0.02,-0.29,-0.18,-47.87,0.95,2.54,-0.93,0.13,-0.08,
7083,0.56,-87.88,1.15,0.02,-0.29,-0.22,286.68,-6.08,-5.78,-1.15,0.01,-0.04,
7163,-7.91,-77.44,1.06,0.02,-0.23,-0.29,261.51,11.19,-6.88,-1.04,-0.15,0.18,
7246,-7.32,-76.55,1.00,0.02,-0.22,-0.30,-179.74,-12.29,7.22,-0.97,-0.13,0.20,
7326,-0.99,-88.91,1.21,0.02,-0.28,-0.23,-286.72,4.48,7.74,-1.21,-0.02,0.01,
7406,8.64,-79.90,0.94,0.02,-0.29,-0.18,-42.16,0.56,0.15,-0.93,0.14,-0.09,
7486,0.80,-87.87,1.15,0.02,-0.28,-0.21,286.68,-13.16,-3.82,-1.15,0.02,-0.04,
7566,-7.07,-78.14,1.06,0.02,-0.23,-0.28,248.31,6.18,-2.19,-1.04,-0.13,0.17,
7646,-7.12,-77.52,1.00,0.02,-0.23,-0.28,-180.47,-8.09,3.02,-0.98,-0.12,0.18,
7726,-1.24,-88.58,1.21,0.02,-0.28,-0.23,-286.72,3.00,-0.36,-1.21,-0.03,-0.01,
7809,7.63,-80.27,0.95,0.02,-0.30,-0.17,-24.05,-2.32,0.69,-0.94,0.13,-0.10,
7889,0.05,-88.39,1.16,0.02,-0.29,-0.21,286.68,-6.47,-0.96,-1.16,0.00,-0.03,
7969,-7.71,-77.24,1.05,0.01,-0.23,-0.29,225.99,10.72,-4.40,-1.02,-0.14,0.18,
8049,-8.43,-76.70,1.02,0.02,-0.23,-0.29,-189.12,-11.60,3.95,-0.99,-0.15,0.18,
8129,-1.38,-88.49,1.16,0.02,-0.27,-0.22,-286.72,-1.08,6.91,-1.15,-0.03,0.01,
8209,7.80,-80.75,0.98,0.02,-0.29,-0.18,-18.61,-0.48,1.30,-0.96,0.13,-0.08,
8292,-0.27,-89.73,1.16,0.02,-0.28,-0.22,286.68,-5.38,-6.12,-1.16,-0.01,-0.00,
8372,-7.36,-77.68,1.03,0.02,-0.23,-0.29,204.92,4.55,-4.36,-1.01,-0.13,0.18,
8452,-7.06,-77.35,1.03,0.02,-0.23,-0.28,-205.38,-10.30,6.84,-1.01,-0.13,0.19,
8532,0.60,-89.09,1.17,0.02,-0.28,-0.22,-286.72,4.83,4.66,-1.17,0.01,-0.01,
8612,8.06,-80.51,0.96,0.02,-0.29,-0.17,8.20,-2.93,-1.02,-0.94,0.13,-0.08,
8692,0.62,-89.28,1.17,0.02,-0.27,-0.23,286.68,-9.27,-1.15,-1.17,0.01,-0.01,
8772,-6.58,-78.37,1.03,0.02,-0.23,-0.28,184.82,5.81,-1.09,-1.01,-0.12,0.17,
8855,-6.49,-79.31,1.05,0.02,-0.23,-0.28,-225.37,-8.57,1.71,-1.03,-0.12,0.15,
8935,0.57,-88.55,1.15,0.01,-0.28,-0.20,-286.72,2.74,0.89,-1.15,0.01,-0.03,
9015,6.72,-82.13,0.96,0.02,-0.30,-0.18,38.25,-2.30,0.40,-0.95,0.11,-0.07,
9095,-0.79,-88.82,1.18,0.02,-0.27,-0.22,286.68,-0.62,-2.91,-1.18,-0.02,0.02,
9175,-7.49,-77.52,1.02,0.02,-0.22,-0.29,155.80,6.57,-4.00,-0.99,-0.13,0.18,
9255,-6.97,-78.73,1.06,0.02,-0.24,-0.27,-232.84,-12.68,6.31,-1.04,-0.13,0.16,
9335,1.13,-88.41,1.12,0.02,-0.28,-0.20,-286.72,3.29,7.27,-1.12,0.02,-0.02,
9418,6.78,-82.33,0.98,0.02,-0.29,-0.18,66.41,-3.33,-1.60,-0.97,0.12,-0.06,
9498,-1.77,-87.51,1.17,0.02,-0.26,-0.24,286.68,-3.27,-5.03,-1.17,-0.04,0.04,
9578,-6.75,-77.17,1.00,0.02,-0.22,-0.28,119.62,0.85,-1.03,-0.98,-0.12,0.19,
9658,-5.26,-80.45,1.09,0.02,-0.24,-0.26,-254.32,-7.69,5.08,-1.07,-0.10,0.15,
9738,2.66,-86.70,1.10,0.01,-0.28,-0.21,-273.86,7.25,1.81,-1.10,0.05,-0.04,
9819,6.52,-82.15,0.99,0.02,-0.29,-0.19,90.10,-7.45,-0.94,-0.98,0.11,-0.08,
9901,-2.23,-86.45,1.18,0.01,-0.27,-0.24,286.68,-2.20,-0.42,-1.18,-0.05,0.06,
9986,-6.60,-77.55,0.99,0.01,-0.22,-0.28,55.01,2.26,-0.87,-0.97,-0.11,0.18,
10066,-5.07,-82.37,1.12,0.02,-0.25,-0.26,-285.54,-8.52,1.41,-1.11,-0.10,0.11,
10147,2.98,-86.09,1.06,0.01,-0.29,-0.19,-221.61,2.71,3.18,-1.05,0.05,-0.05,
10227,4.86,-84.20,1.01,0.02,-0.30,-0.20,149.12,-5.92,-1.47,-1.00,0.09,-0.06,
10307,-3.91,-83.93,1.17,0.02,-0.26,-0.25,286.68,5.21,-5.14,-1.17,-0.08,0.10,
10387,-7.28,-76.21,0.99,0.02,-0.22,-0.29,28.59,-1.25,-0.14,-0.96,-0.13,0.20,
10469,-4.47,-82.80,1.15,0.01,-0.25,-0.26,-286.72,-9.05,7.40,-1.14,-0.09,0.11,
10549,4.49,-84.98,1.03,0.02,-0.29,-0.20,-180.45,6.70,4.38,-1.03,0.08,-0.04,
10629,4.59,-84.68,1.03,0.02,-0.28,-0.20,178.28,-7.56,-3.66,-1.02,0.08,-0.05,
10709,-3.77,-83.09,1.14,0.02,-0.25,-0.25,286.24,0.38,-2.84,-1.13,-0.07,0.12,
10789,-6.00,-77.75,1.00,0.01,-0.23,-0.28,-14.76,-3.20,1.89,-0.98,-0.10,0.18,
10869,-2.89,-85.01,1.15,0.01,-0.26,-0.24,-286.72,-2.49,1.85,-1.14,-0.06,0.08,
10952,5.32,-83.80,1.01,0.02,-0.29,-0.18,-140.94,3.46,0.66,-1.00,0.09,-0.06,
11032,3.42,-85.79,1.05,0.01,-0.29,-0.20,205.27,-9.49,-0.78,-1.05,0.06,-0.05,
11112,-4.44,-82.27,1.12,0.01,-0.25,-0.26,263.81,4.80,-1.57,-1.11,-0.09,0.12,
11192,-6.56,-78.00,1.00,0.02,-0.23,-0.28,-54.88,-3.12,0.18,-0.98,-0.11,0.17,
11272,-3.86,-84.85,1.16,0.02,-0.27,-0.23,-286.72,-5.59,3.08,-1.15,-0.08,0.07,
11352,5.04,-84.37,1.01,0.02,-0.29,-0.19,-107.83,0.88,2.82,-1.00,0.09,-0.04,
11432,2.18,-87.73,1.07,0.02,-0.29,-0.21,224.38,-4.41,-3.21,-1.07,0.04,-0.01,
11514,-5.35,-80.87,1.10,0.02,-0.25,-0.27,231.34,5.63,-4.69,-1.08,-0.10,0.14,
11594,-6.38,-77.94,1.01,0.02,-0.23,-0.28,-93.58,-6.77,3.74,-0.99,-0.11,0.18,
11674,-1.26,-86.76,1.15,0.01,-0.27,-0.23,-286.69,-1.91,6.23,-1.15,-0.03,0.06,
11754,6.14,-83.29,0.99,0.02,-0.29,-0.19,-64.36,1.86,1.29,-0.98,0.11,-0.05,
11834,1.81,-88.16,1.10,0.02,-0.29,-0.22,249.07,-8.20,-2.45,-1.10,0.03,-0.01,
11914,-4.80,-80.80,1.07,0.02,-0.25,-0.26,200.24,1.66,-1.24,-1.06,-0.09,0.15,
11995,-4.87,-79.76,1.02,0.02,-0.23,-0.27,-136.77,-4.97,2.11,-1.00,-0.09,0.16,
12077,0.07,-88.69,1.13,0.02,-0.28,-0.22,-276.82,0.03,0.52,-1.13,0.00,0.03,
12157,5.91,-83.23,0.99,0.02,-0.29,-0.19,-13.29,-2.83,0.10,-0.99,0.10,-0.06,
12237,0.39,-87.99,1.10,0.02,-0.28,-0.23,262.79,-6.35,-1.43,-1.10,0.01,0.04,
12317,-5.14,-80.01,1.05,0.02,-0.24,-0.27,154.56,5.13,-2.73,-1.03,-0.09,0.16,
12398,-5.74,-79.36,1.06,0.02,-0.25,-0.27,-164.00,-7.50,2.42,-1.04,-0.11,0.16,
12478,0.23,-88.69,1.11,0.02,-0.27,-0.21,-255.27,-0.85,4.84,-1.11,0.00,0.03,
12560,5.20,-84.45,1.00,0.02,-0.29,-0.19,36.66,-2.13,0.14,-0.99,0.09,-0.03,
12640,-1.27,-87.24,1.13,0.02,-0.27,-0.23,270.52,-0.66,-4.55,-1.13,-0.03,0.05,
12720,-5.75,-78.52,1.03,0.01,-0.24,-0.27,106.40,0.91,-1.60,-1.01,-0.10,0.18,
12801,-4.66,-80.89,1.08,0.02,-0.25,-0.26,-197.77,-7.45,5.56,-1.07,-0.09,0.15,
12881,2.32,-87.68,1.09,0.02,-0.28,-0.21,-221.08,3.72,3.50,-1.09,0.04,-0.00,
12961,5.62,-83.92,0.99,0.02,-0.29,-0.20,73.10,-4.73,-1.09,-0.99,0.10,-0.04,
13041,-1.30,-87.12,1.13,0.02,-0.27,-0.24,265.16,-3.62,-0.84,-1.13,-0.03,0.05,
13123,-4.92,-79.43,1.01,0.02,-0.23,-0.28,56.40,2.22,0.24,-1.00,-0.09,0.16,
13204,-3.43,-83.04,1.09,0.02,-0.25,-0.26,-227.32,-4.09,0.67,-1.08,-0.07,0.11,
13284,3.27,-86.34,1.06,0.02,-0.28,-0.21,-182.26,4.41,1.08,-1.06,0.06,-0.03,
13364,4.32,-85.41,1.02,0.02,-0.29,-0.20,120.14,-5.78,-0.55,-1.02,0.08,-0.03,
13444,-2.90,-84.62,1.13,0.02,-0.26,-0.25,249.59,2.78,-2.52,-1.12,-0.06,0.09,
13524,-5.92,-78.73,1.01,0.02,-0.24,-0.28,13.01,-0.65,-0.72,-0.99,-0.10,0.17,
13607,-3.22,-83.96,1.12,0.02,-0.26,-0.25,-243.64,-6.95,4.85,-1.11,-0.06,0.10,
13687,3.76,-86.23,1.04,0.02,-0.28,-0.20,-136.34,0.99,3.75,-1.03,0.07,-0.00,
13767,3.02,-86.96,1.05,0.01,-0.29,-0.21,161.55,-4.32,-2.65,-1.05,0.06,-0.01,
13847,-3.57,-82.90,1.11,0.02,-0.25,-0.25,225.28,1.72,-3.24,-1.10,-0.07,0.12,
13927,-5.13,-79.69,1.01,0.02,-0.24,-0.27,-38.50,-4.24,2.35,-1.00,-0.09,0.16,
14007,-0.84,-85.98,1.11,0.02,-0.26,-0.24,-246.94,-2.09,3.71,-1.11,-0.02,0.08,
14087,5.05,-84.85,1.02,0.02,-0.28,-0.20,-91.17,1.68,0.81,-1.02,0.09,-0.02,
14170,2.51,-87.41,1.08,0.02,-0.28,-0.21,190.48,-7.24,-0.66,-1.07,0.05,-0.01,
14250,-3.48,-82.76,1.09,0.02,-0.25,-0.27,188.62,0.94,-0.62,-1.08,-0.07,0.12,
14330,-4.44,-80.90,1.03,0.02,-0.24,-0.27,-87.11,-2.97,0.50,-1.01,-0.08,0.14,
14410,-0.64,-87.67,1.12,0.02,-0.27,-0.23,-240.42,-0.74,0.88,-1.12,-0.01,0.04,
14490,4.53,-85.15,1.02,0.02,-0.29,-0.19,-42.17,-1.48,0.87,-1.01,0.08,-0.03,
14570,0.91,-88.44,1.09,0.02,-0.28,-0.21,212.43,-2.90,-4.45,-1.09,0.02,0.02,
14653,-4.74,-80.38,1.06,0.02,-0.24,-0.26,146.20,3.93,-2.82,-1.04,-0.09,0.15,
14733,-4.90,-80.08,1.04,0.02,-0.24,-0.27,-130.76,-6.67,3.21,-1.03,-0.09,0.16,
14813,0.24,-88.18,1.11,0.01,-0.28,-0.21,-220.04,-1.64,5.28,-1.11,0.00,0.03,
14893,4.68,-85.32,1.01,0.02,-0.29,-0.19,12.67,-1.58,2.19,-1.01,0.08,-0.00,
14973,-0.18,-87.77,1.11,0.02,-0.27,-0.23,224.57,-2.43,-2.93,-1.11,-0.00,0.04,
15053,-3.58,-80.67,1.04,0.01,-0.24,-0.26,108.89,-0.18,-0.30,-1.03,-0.07,0.16,
15133,-3.36,-81.94,1.07,0.02,-0.25,-0.26,-160.73,-4.92,3.32,-1.06,-0.06,0.14,
15215,2.26,-87.74,1.08,0.02,-0.27,-0.21,-190.25,2.69,1.18,-1.08,0.04,-0.00,
15295,4.75,-84.99,1.01,0.02,-0.29,-0.20,60.97,-4.37,-0.12,-1.00,0.08,-0.03,
15375,-0.77,-87.05,1.11,0.01,-0.27,-0.24,226.23,-2.88,-0.13,-1.11,-0.02,0.06,
15455,-4.37,-80.36,1.03,0.02,-0.24,-0.27,55.03,0.52,-0.66,-1.02,-0.08,0.15,
15535,-3.16,-83.57,1.08,0.02,-0.25,-0.25,-189.12,-4.16,1.03,-1.08,-0.06,0.11,
15615,2.35,-87.65,1.06,0.02,-0.28,-0.21,-159.77,0.25,2.20,-1.06,0.04,-0.00,
15695,3.46,-86.50,1.04,0.02,-0.28,-0.20,99.01,-3.96,-0.89,-1.03,0.06,-0.01,
15778,-2.44,-84.16,1.11,0.02,-0.26,-0.24,212.37,2.47,-3.41,-1.10,-0.05,0.10,
15858,-5.19,-79.54,1.03,0.02,-0.24,-0.27,4.83,-1.72,0.20,-1.01,-0.09,0.16,
15938,-2.56,-83.81,1.10,0.02,-0.26,-0.24,-204.15,-5.71,5.03,-1.09,-0.05,0.11,
16018,3.35,-86.65,1.05,0.01,-0.29,-0.20,-113.06,0.71,2.42,-1.04,0.06,0.00,
16098,2.81,-87.15,1.06,0.02,-0.28,-0.21,138.38,-4.05,-1.66,-1.05,0.05,0.01,
16178,-2.49,-83.69,1.09,0.02,-0.26,-0.25,188.34,-2.22,-1.19,-1.09,-0.05,0.11,
16261,-3.96,-81.18,1.03,0.01,-0.24,-0.26,-46.83,-3.52,1.68,-1.02,-0.07,0.14,
16341,-0.66,-86.87,1.11,0.01,-0.27,-0.23,-209.90,-0.74,1.39,-1.11,-0.01,0.06,
16421,4.52,-85.29,1.03,0.01,-0.29,-0.20,-66.89,0.03,0.46,-1.02,0.08,-0.02,
16501,2.13,-87.79,1.08,0.02,-0.28,-0.21,170.37,-5.64,-0.15,-1.08,0.04,0.01,
16581,-3.11,-82.82,1.07,0.01,-0.25,-0.25,154.13,1.25,-1.10,-1.07,-0.06,0.12,
16661,-3.91,-81.38,1.05,0.02,-0.25,-0.26,-86.44,-3.39,0.25,-1.03,-0.07,0.14,
16741,-0.24,-87.50,1.10,0.02,-0.27,-0.23,-203.24,-2.07,2.13,-1.10,-0.00,0.05,
16824,3.73,-86.20,1.02,0.02,-0.29,-0.20,-12.37,-1.94,0.74,-1.02,0.07,-0.01,
16904,0.12,-87.51,1.10,0.01,-0.27,-0.22,189.56,-1.25,-3.03,-1.10,0.00,0.05,
16984,-4.09,-81.20,1.05,0.02,-0.25,-0.26,109.58,1.50,-2.07,-1.04,-0.08,0.14,
17064,-3.99,-80.85,1.06,0.02,-0.25,-0.26,-123.22,-5.87,3.95,-1.05,-0.07,0.15,
17144,0.95,-87.94,1.08,0.01,-0.27,-0.22,-178.84,-0.66,3.61,-1.08,0.02,0.03,
17224,4.01,-85.99,1.03,0.02,-0.28,-0.20,30.91,-2.27,-0.30,-1.03,0.07,-0.00,
17306,-0.38,-86.59,1.10,0.02,-0.27,-0.23,195.00,-2.77,-0.82,-1.10,-0.01,0.06,
17386,-3.58,-80.82,1.04,0.02,-0.25,-0.26,62.80,-1.25,0.63,-1.03,-0.07,0.15,
17467,-2.39,-83.98,1.08,0.01,-0.26,-0.24,-158.24,-3.03,1.37,-1.07,-0.04,0.10,
17547,2.49,-87.51,1.07,0.01,-0.28,-0.21,-147.03,1.42,0.58,-1.07,0.05,0.00,
17627,3.78,-86.17,1.04,0.02,-0.29,-0.20,77.93,-4.52,-0.29,-1.03,0.07,-0.01,
17707,-1.14,-85.77,1.08,0.02,-0.27,-0.23,186.72,-0.94,-1.14,-1.08,-0.02,0.08,
17787,-4.07,-80.46,1.04,0.02,-0.25,-0.26,17.53,-0.52,-0.65,-1.03,-0.07,0.16,
17869,-2.24,-84.30,1.09,0.01,-0.27,-0.24,-175.89,-3.87,2.35,-1.09,-0.04,0.10,
17949,2.51,-87.48,1.05,0.02,-0.28,-0.20,-104.20,-0.82,2.33,-1.05,0.05,0.01,
18029,2.33,-87.39,1.06,0.02,-0.29,-0.21,117.00,-2.76,-1.80,-1.06,0.04,0.02,
18109,-2.65,-83.18,1.09,0.02,-0.26,-0.25,165.54,1.57,-2.79,-1.08,-0.05,0.12,
18190,-4.26,-80.18,1.04,0.02,-0.25,-0.26,-30.10,-3.50,1.72,-1.03,-0.08,0.16,
18270,-1.08,-85.81,1.09,0.02,-0.27,-0.24,-182.18,-3.39,3.79,-1.09,-0.02,0.08,
18350,3.62,-86.38,1.04,0.02,-0.29,-0.21,-55.61,-0.46,1.19,-1.04,0.07,0.00,
18432,1.75,-87.94,1.07,0.01,-0.28,-0.23,148.57,-4.55,-0.81,-1.07,0.03,0.02,
18513,-2.45,-83.32,1.07,0.01,-0.26,-0.25,134.65,-0.92,-2.24,-1.06,-0.05,0.12,
18593,-2.94,-82.26,1.05,0.01,-0.25,-0.26,-76.39,-2.69,0.85,-1.04,-0.05,0.13,
18673,0.32,-87.14,1.09,0.02,-0.28,-0.23,-176.52,0.31,0.67,-1.09,0.01,0.05,
18753,3.94,-85.98,1.03,0.02,-0.29,-0.20,-14.18,-1.74,0.37,-1.03,0.07,-0.01,
18833,1.54,-87.48,1.08,0.02,-0.28,-0.22,161.96,-3.41,-1.03,-1.08,0.03,0.04,
18915,-3.45,-82.03,1.07,0.02,-0.25,-0.26,92.08,1.21,-1.68,-1.06,-0.06,0.13,
18995,-3.33,-82.91,1.06,0.02,-0.25,-0.26,-113.79,-4.04,1.73,-1.05,-0.06,0.11,
19075,0.61,-87.32,1.08,0.01,-0.28,-0.22,-153.85,-1.94,2.88,-1.08,0.01,0.05,
19155,3.08,-86.87,1.05,0.01,-0.29,-0.21,32.73,-2.40,-0.11,-1.05,0.06,0.01,
19235,-0.80,-86.52,1.09,0.02,-0.27,-0.24,169.25,-0.06,-2.46,-1.09,-0.02,0.06,
19315,-3.68,-81.52,1.04,0.02,-0.25,-0.27,54.01,-0.81,-2.23,-1.03,-0.07,0.14,
19395,-1.72,-83.45,1.08,0.02,-0.26,-0.25,-137.29,-4.60,3.37,-1.07,-0.03,0.12,
19478,2.23,-87.73,1.07,0.01,-0.28,-0.22,-122.20,0.44,1.92,-1.07,0.04,0.01,
19558,3.24,-86.73,1.05,0.01,-0.29,-0.21,76.94,-3.52,-0.11,-1.05,0.06,0.01,
19638,-0.92,-85.29,1.09,0.01,-0.27,-0.24,160.92,-2.28,-0.05,-1.09,-0.02,0.09,
19718,-3.02,-81.80,1.05,0.02,-0.25,-0.25,7.50,-1.78,0.37,-1.04,-0.06,0.14,
19798,-1.11,-85.78,1.08,0.02,-0.27,-0.24,-156.08,-1.55,0.83,-1.08,-0.02,0.08,
19878,2.88,-87.10,1.05,0.02,-0.29,-0.22,-88.08,-0.08,0.94,-1.05,0.05,0.01,
19960,2.28,-87.53,1.06,0.02,-0.28,-0.22,111.30,-3.94,-0.84,-1.06,0.04,0.02,
20040,-2.24,-83.95,1.08,0.02,-0.26,-0.25,140.24,0.71,-2.14,-1.07,-0.04,0.11,
20121,-3.63,-81.63,1.04,0.02,-0.26,-0.27,-39.23,-2.23,0.54,-1.03,-0.07,0.14,
20201,-1.09,-85.80,1.08,0.02,-0.27,-0.24,-161.24,-3.33,3.46,-1.08,-0.02,0.08,
20281,2.60,-87.19,1.04,0.02,-0.29,-0.21,-42.92,-1.24,1.43,-1.04,0.05,0.02,
20361,1.08,-87.32,1.07,0.01,-0.28,-0.22,134.20,-1.97,-1.83,-1.07,0.02,0.05,
20441,-2.46,-83.65,1.08,0.02,-0.26,-0.25,110.39,-0.42,-1.08,-1.08,-0.05,0.11,
20523,-2.75,-82.37,1.05,0.02,-0.26,-0.26,-77.96,-4.20,2.62,-1.04,-0.05,0.13,
20604,0.37,-87.23,1.08,0.02,-0.27,-0.23,-148.09,-0.69,2.07,-1.08,0.01,0.05,
20684,3.36,-86.64,1.04,0.02,-0.29,-0.21,1.24,-1.77,0.57,-1.04,0.06,0.00,
20764,0.71,-87.02,1.08,0.02,-0.28,-0.23,147.01,-3.59,-0.20,-1.08,0.01,0.05,
20844,-34.54,-55.35,0.83,0.02,-0.25,-0.26,73.19,-2.96,5.67,-0.68,-0.47,0.04,
20924,1.08,-82.58,1.13,0.02,-0.26,-0.25,-59.88,-0.05,-3.98,-1.12,0.02,0.14,
21004,0.35,-85.04,1.07,0.01,-0.27,-0.23,-108.49,-0.69,1.72,-1.07,0.01,0.09,
21087,2.34,-85.45,1.04,0.02,-0.28,-0.21,0.61,2.78,7.61,-1.04,0.04,0.07,
21167,22.17,-51.77,1.24,0.02,-0.28,-0.22,22.59,-60.27,4.13,-0.98,0.47,0.61,
