Runtime ,Roll (deg),Pitch (deg),G-Force (g),Magnetometer X-Axis (gauss),Magnetometer Y-Axis (gauss),Magnetometer Z-Axis (gauss),Gyroscope X-Axis (deg/s),Gyroscope Y-Axis (deg/s),Gyroscope Z-Axis (deg/s),Accelerometer X-Axis (g),Accelerometer Y-Axis (g),Accelerometer Z-Axis (g)
6185,-4.58,-78.17,1.06,0.01,-0.24,-0.28,223.57,3.69,-5.80,-1.04,-0.08,0.20,
6268,-4.89,-76.81,1.04,0.01,-0.24,-0.28,-198.72,-8.34,7.82,-1.01,-0.09,0.22,
6348,0.29,-89.05,1.15,0.01,-0.28,-0.22,-286.72,5.64,5.28,-1.15,0.01,0.02,
6428,4.80,-81.62,0.97,0.01,-0.29,-0.19,44.22,-3.98,-1.66,-0.96,0.08,-0.12,
6508,-2.52,-86.06,1.19,0.01,-0.27,-0.24,286.68,-8.24,-2.39,-1.18,-0.05,0.06,
6588,-3.72,-77.40,1.00,0.01,-0.23,-0.28,107.83,1.00,-0.15,-0.97,-0.06,0.21,
6668,-3.19,-81.14,1.10,0.01,-0.25,-0.27,-278.29,-5.21,1.04,-1.09,-0.06,0.16,
6748,0.09,-86.41,1.07,0.01,-0.29,-0.20,-240.84,2.35,-2.33,-1.07,0.00,-0.07,
6831,1.97,-84.92,1.01,0.01,-0.30,-0.20,160.94,-6.58,1.64,-1.00,0.03,-0.08,
6911,-3.54,-82.52,1.17,0.01,-0.26,-0.26,286.68,5.37,2.20,-1.16,-0.07,0.13,
6991,-5.12,-77.83,0.98,0.01,-0.23,-0.29,-16.66,-1.41,-0.47,-0.95,-0.09,0.19,
7071,-3.51,-83.00,1.17,0.01,-0.26,-0.24,-286.72,-8.47,4.18,-1.17,-0.07,0.12,
7151,2.50,-85.09,1.00,0.01,-0.29,-0.18,-127.00,2.76,3.53,-1.00,0.04,-0.07,
7231,0.85,-88.28,1.08,0.01,-0.29,-0.21,249.41,-4.36,-3.23,-1.08,0.02,-0.03,
7311,-4.10,-78.57,1.10,0.01,-0.25,-0.27,252.03,2.69,-6.08,-1.07,-0.08,0.20,
7393,-4.83,-77.07,1.02,0.01,-0.24,-0.28,-139.36,-6.66,5.85,-0.99,-0.09,0.21,
7473,-0.38,-88.00,1.16,0.01,-0.28,-0.22,-286.72,3.54,5.55,-1.16,-0.01,0.04,
7554,3.73,-83.05,0.98,0.01,-0.30,-0.18,-1.27,-1.72,-0.88,-0.97,0.06,-0.10,
7634,-1.41,-87.21,1.15,0.01,-0.28,-0.22,286.68,-8.78,-2.00,-1.15,-0.03,0.05,
7714,-4.20,-77.51,1.02,0.00,-0.23,-0.28,140.88,1.54,-0.51,-1.00,-0.07,0.21,
7794,-3.27,-80.63,1.08,0.00,-0.25,-0.27,-234.55,-5.30,1.32,-1.06,-0.06,0.16,
7876,0.52,-86.74,1.08,0.01,-0.29,-0.21,-239.98,1.29,-1.90,-1.08,0.01,-0.06,
7957,2.31,-84.85,1.00,0.01,-0.30,-0.19,120.18,-5.23,1.15,-1.00,0.04,-0.08,
8037,-2.95,-83.60,1.16,0.01,-0.27,-0.25,286.68,3.98,0.11,-1.15,-0.06,0.11,
8117,-4.95,-77.69,0.98,0.01,-0.23,-0.29,13.36,-0.36,-0.85,-0.95,-0.08,0.19,
8197,-3.48,-82.79,1.15,0.01,-0.26,-0.26,-286.72,-8.51,4.11,-1.14,-0.07,0.13,
8277,2.16,-86.07,1.03,0.01,-0.29,-0.20,-142.67,2.77,3.74,-1.03,0.04,-0.06,
8357,1.64,-87.57,1.06,0.02,-0.29,-0.21,215.33,-4.37,-2.74,-1.06,0.03,-0.03,
8440,-3.58,-79.78,1.10,0.01,-0.25,-0.27,241.22,1.69,-5.40,-1.08,-0.07,0.18,
8520,-4.19,-76.99,1.02,0.01,-0.24,-0.27,-116.00,-5.85,4.91,-0.99,-0.07,0.22,
8600,-0.34,-87.00,1.15,0.01,-0.28,-0.23,-286.72,2.61,5.22,-1.15,-0.01,0.06,
8680,4.41,-83.04,0.98,0.01,-0.29,-0.20,-14.20,-1.44,-0.81,-0.98,0.08,-0.09,
8760,-0.96,-87.80,1.14,0.01,-0.28,-0.24,283.32,-7.96,-1.58,-1.14,-0.02,0.04,
8840,-3.32,-78.92,1.03,0.01,-0.24,-0.28,139.06,1.50,-0.46,-1.02,-0.06,0.19,
8923,-2.93,-81.58,1.08,0.01,-0.25,-0.27,-220.60,-5.11,0.63,-1.06,-0.06,0.15,
9003,0.46,-88.66,1.08,0.01,-0.29,-0.22,-231.22,0.59,-1.86,-1.08,0.01,-0.02,
9083,2.14,-85.01,1.01,0.01,-0.30,-0.20,108.89,-4.42,0.95,-1.00,0.04,-0.08,
9163,-2.62,-83.81,1.15,0.01,-0.27,-0.26,283.85,3.29,-0.19,-1.14,-0.05,0.11,
9243,-4.51,-78.43,1.00,0.01,-0.24,-0.28,14.30,-0.60,-0.56,-0.98,-0.08,0.19,
9323,-3.13,-82.74,1.15,0.01,-0.27,-0.25,-276.75,-7.76,4.27,-1.14,-0.06,0.13,
9404,2.34,-86.79,1.02,0.01,-0.30,-0.20,-133.44,2.44,3.45,-1.02,0.04,-0.04,
9486,1.34,-88.50,1.07,0.01,-0.29,-0.21,212.23,-4.53,-3.17,-1.07,0.03,-0.01,
9566,-3.27,-80.11,1.11,0.01,-0.26,-0.27,222.48,0.79,-4.96,-1.09,-0.06,0.18,
9646,-3.77,-78.73,1.02,0.01,-0.25,-0.28,-109.34,-5.26,4.69,-1.00,-0.07,0.19,
9726,-0.10,-87.31,1.14,0.01,-0.28,-0.24,-276.98,1.94,4.48,-1.14,-0.00,0.05,
9806,4.29,-83.69,0.99,0.01,-0.29,-0.20,-10.64,-2.46,-1.01,-0.99,0.07,-0.08,
9886,-0.87,-87.40,1.13,0.01,-0.28,-0.24,267.59,-7.05,-1.64,-1.13,-0.02,0.05,
9967,-3.05,-78.37,1.04,0.01,-0.24,-0.28,126.33,1.49,-0.23,-1.02,-0.06,0.20,
10049,-2.55,-81.70,1.08,0.01,-0.25,-0.26,-212.50,-5.00,0.49,-1.07,-0.05,0.15,
10129,0.49,-88.46,1.08,0.01,-0.29,-0.21,-209.85,-0.12,-1.50,-1.08,0.01,-0.03,
10209,1.82,-86.10,1.00,0.01,-0.30,-0.19,110.30,-3.68,1.07,-1.00,0.03,-0.06,
10290,-2.70,-83.50,1.14,0.01,-0.27,-0.24,264.49,3.31,-0.55,-1.13,-0.05,0.12,
10370,-4.09,-78.57,1.01,0.01,-0.24,-0.28,2.54,-1.29,-0.34,-0.99,-0.07,0.19,
10450,-2.82,-83.13,1.13,0.01,-0.27,-0.25,-264.27,-6.74,4.77,-1.12,-0.06,0.12,
10532,2.74,-86.38,1.02,0.01,-0.30,-0.20,-103.46,1.95,3.33,-1.01,0.05,-0.04,
10612,1.16,-88.82,1.08,0.01,-0.29,-0.21,210.65,-4.37,-2.90,-1.08,0.02,0.00,
10692,-3.14,-79.60,1.08,0.01,-0.25,-0.27,199.29,0.15,-4.40,-1.07,-0.06,0.19,
10772,-3.24,-78.36,1.04,0.01,-0.25,-0.27,-121.96,-4.73,4.85,-1.01,-0.06,0.20,
10852,0.38,-87.55,1.14,0.01,-0.28,-0.22,-254.44,2.44,3.81,-1.13,0.01,0.05,
10932,3.71,-84.20,1.00,0.01,-0.29,-0.20,7.60,-3.06,-0.91,-1.00,0.06,-0.08,
11012,-0.91,-86.59,1.13,0.01,-0.27,-0.23,255.53,-5.70,-1.29,-1.12,-0.02,0.06,
11095,-2.95,-79.87,1.03,0.01,-0.24,-0.27,92.22,1.01,-2.16,-1.01,-0.05,0.17,
11175,-2.45,-82.30,1.09,0.01,-0.25,-0.25,-212.15,-5.00,0.10,-1.08,-0.05,0.14,
11255,0.82,-88.27,1.06,0.01,-0.28,-0.20,-185.75,-0.54,-0.98,-1.06,0.02,-0.03,
11335,1.43,-87.10,1.03,0.01,-0.29,-0.21,124.59,-3.47,1.06,-1.03,0.03,-0.05,
11415,-2.49,-82.47,1.12,0.01,-0.26,-0.26,243.01,3.47,-0.94,-1.11,-0.05,0.14,
11495,-4.20,-79.04,1.02,0.01,-0.23,-0.28,-22.37,-2.51,-2.17,-1.00,-0.07,0.18,
11578,-2.04,-84.29,1.13,0.01,-0.27,-0.24,-253.43,-4.93,4.61,-1.12,-0.04,0.10,
11658,3.11,-86.06,1.01,0.01,-0.29,-0.20,-74.58,1.46,2.89,-1.01,0.06,-0.04,
11738,0.81,-88.32,1.09,0.01,-0.29,-0.22,213.88,-2.25,-3.55,-1.09,0.02,0.03,
11818,-2.95,-79.79,1.06,0.01,-0.25,-0.27,165.19,-0.66,-3.61,-1.05,-0.05,0.18,
11898,-2.88,-80.07,1.05,0.01,-0.25,-0.27,-139.82,-4.14,4.94,-1.03,-0.05,0.17,
11978,0.99,-87.92,1.11,0.01,-0.28,-0.22,-227.46,2.50,2.99,-1.11,0.02,0.04,
12058,3.49,-85.34,1.01,0.01,-0.29,-0.20,40.81,-4.08,-1.23,-1.00,0.06,-0.05,
12141,-1.41,-85.21,1.13,0.01,-0.27,-0.24,243.89,-3.59,-1.09,-1.13,-0.03,0.09,
12221,-2.86,-79.89,1.02,0.01,-0.24,-0.27,52.40,0.14,0.04,-1.00,-0.05,0.17,
12301,-2.29,-83.53,1.10,0.01,-0.26,-0.25,-216.38,-4.63,-0.19,-1.10,-0.04,0.12,
12381,1.12,-88.11,1.04,0.02,-0.29,-0.20,-144.99,-1.05,-0.70,-1.04,0.02,-0.03,
12462,1.04,-88.58,1.05,0.01,-0.29,-0.21,144.39,-2.90,1.04,-1.04,0.02,-0.02,
12542,-2.52,-82.23,1.09,0.01,-0.26,-0.25,211.03,3.45,-1.30,-1.08,-0.05,0.14,
12622,-3.88,-79.41,1.03,0.01,-0.24,-0.27,-59.43,-4.04,0.95,-1.01,-0.07,0.18,
12704,-1.31,-85.66,1.12,0.01,-0.27,-0.24,-237.26,-2.87,4.89,-1.12,-0.03,0.08,
12785,2.98,-86.46,1.01,0.01,-0.29,-0.20,-31.05,0.36,1.67,-1.01,0.05,-0.03,
12865,0.03,-88.30,1.10,0.01,-0.28,-0.23,219.75,-4.15,-3.94,-1.10,0.00,0.03,
12945,-2.95,-79.42,1.06,0.01,-0.25,-0.27,121.35,-0.96,-2.46,-1.05,-0.05,0.19,
13025,-2.44,-79.75,1.07,0.01,-0.26,-0.26,-164.88,-3.47,5.29,-1.05,-0.05,0.19,
13105,1.61,-88.22,1.09,0.01,-0.28,-0.22,-191.99,2.22,2.32,-1.09,0.03,0.01,
13188,2.65,-86.61,1.03,0.00,-0.29,-0.20,86.70,-5.39,-1.49,-1.03,0.05,-0.04,
13268,-1.68,-84.65,1.12,0.01,-0.26,-0.25,223.95,-1.71,-0.88,-1.12,-0.03,0.10,
13348,-2.87,-80.26,1.02,0.01,-0.24,-0.28,6.14,-0.74,0.27,-1.01,-0.05,0.17,
13428,-1.78,-84.80,1.11,0.01,-0.27,-0.25,-221.17,-2.38,-0.52,-1.10,-0.03,0.09,
13508,1.44,-87.39,1.03,0.01,-0.29,-0.20,-96.88,-0.92,-0.12,-1.03,0.03,-0.04,
13589,0.41,-89.15,1.06,0.01,-0.29,-0.23,173.01,-4.44,1.08,-1.06,0.01,0.01,
13669,-2.73,-82.11,1.07,0.01,-0.26,-0.26,171.45,2.61,-1.50,-1.06,-0.05,0.14,
13751,-2.60,-80.41,1.04,0.01,-0.25,-0.27,-106.31,-5.04,2.09,-1.03,-0.05,0.17,
13832,-0.20,-87.14,1.10,0.01,-0.28,-0.22,-212.24,-0.81,4.77,-1.10,-0.00,0.05,
13912,3.38,-86.36,1.00,0.01,-0.29,-0.20,16.38,-0.87,0.91,-1.00,0.06,-0.02,
13992,-0.47,-86.64,1.11,0.01,-0.28,-0.24,218.29,-3.54,-4.00,-1.11,-0.01,0.06,
14072,-2.76,-78.87,1.04,0.01,-0.25,-0.27,70.97,-1.53,-0.75,-1.02,-0.05,0.19,
14152,-1.55,-81.81,1.09,0.01,-0.26,-0.25,-186.40,-2.69,4.66,-1.07,-0.03,0.15,
14235,2.31,-87.61,1.05,0.01,-0.29,-0.21,-139.47,1.48,1.08,-1.05,0.04,-0.01,
14315,1.90,-87.83,1.03,0.01,-0.29,-0.21,125.40,-5.91,-1.54,-1.03,0.03,-0.02,
14395,-1.84,-82.93,1.10,0.01,-0.26,-0.25,193.81,-0.48,-0.68,-1.09,-0.04,0.13,
14475,-1.78,-81.06,1.03,0.01,-0.25,-0.26,-44.69,-1.97,0.67,-1.01,-0.03,0.16,
14555,-1.27,-86.11,1.11,0.01,-0.27,-0.23,-214.01,-3.52,-0.58,-1.11,-0.02,0.07,
14636,1.61,-87.52,1.02,0.01,-0.29,-0.19,-46.24,-1.26,0.34,-1.02,0.03,-0.03,
14716,-0.18,-88.36,1.09,0.01,-0.28,-0.22,190.65,-1.06,0.57,-1.09,-0.00,0.03,
14798,-2.69,-81.82,1.05,0.01,-0.25,-0.26,114.90,1.30,-1.29,-1.04,-0.05,0.14,
14878,-2.95,-81.14,1.07,0.01,-0.25,-0.26,-142.80,-5.20,2.75,-1.05,-0.05,0.15,
14958,0.66,-88.84,1.08,0.00,-0.28,-0.21,-178.54,0.63,3.95,-1.08,0.01,0.02,
15038,2.69,-87.16,1.03,0.01,-0.29,-0.20,66.86,-2.18,-0.30,-1.02,0.05,-0.02,
15118,-1.09,-83.99,1.11,0.01,-0.27,-0.24,204.47,-2.86,-4.16,-1.10,-0.02,0.11,
15199,-2.67,-79.30,1.03,0.01,-0.25,-0.27,15.82,-2.08,0.61,-1.01,-0.05,0.19,
15279,-1.07,-83.51,1.10,0.01,-0.26,-0.25,-193.17,-1.75,4.40,-1.09,-0.02,0.12,
15357,2.44,-87.39,1.05,0.01,-0.29,-0.21,-100.85,0.29,0.41,-1.04,0.04,-0.02,
15437,1.28,-88.60,1.06,0.01,-0.29,-0.22,147.49,-5.48,-1.40,-1.06,0.02,-0.01,
15517,-2.17,-82.27,1.08,0.00,-0.26,-0.25,163.53,0.35,-0.54,-1.07,-0.04,0.14,
15597,-2.49,-80.40,1.04,0.01,-0.25,-0.26,-74.68,-3.10,0.70,-1.03,-0.05,0.17,
15677,-0.76,-87.40,1.11,0.00,-0.27,-0.23,-197.30,-2.81,-0.64,-1.10,-0.01,0.05,
15757,2.56,-86.84,1.02,0.01,-0.29,-0.20,-6.12,-1.48,0.67,-1.02,0.05,-0.03,
15840,-0.66,-86.74,1.10,0.00,-0.28,-0.23,193.85,-0.33,0.25,-1.10,-0.01,0.06,
15920,-2.74,-80.30,1.05,0.01,-0.25,-0.27,76.61,0.02,-0.84,-1.03,-0.05,0.17,
16000,-2.40,-81.65,1.08,0.01,-0.26,-0.26,-160.67,-4.83,3.37,-1.07,-0.05,0.15,
16080,1.16,-87.99,1.06,0.01,-0.28,-0.22,-143.04,0.81,3.72,-1.06,0.02,0.03,
16160,2.28,-87.72,1.05,0.01,-0.28,-0.21,98.22,-3.19,-1.09,-1.04,0.04,-0.00,
16240,-1.32,-82.68,1.10,0.01,-0.26,-0.25,182.47,-2.26,-3.92,-1.09,-0.03,0.14,
16320,-2.26,-79.32,1.04,0.01,-0.24,-0.26,-24.59,-2.40,1.62,-1.02,-0.04,0.19,
16403,-0.26,-85.16,1.10,0.01,-0.26,-0.24,-193.70,-0.82,3.59,-1.10,-0.01,0.09,
16483,2.76,-86.90,1.03,0.01,-0.29,-0.20,-48.76,-1.58,-0.38,-1.03,0.05,-0.03,
16563,0.28,-88.77,1.08,0.01,-0.28,-0.22,170.00,-4.49,-1.38,-1.08,0.01,0.02,
16643,-2.29,-81.66,1.06,0.01,-0.25,-0.26,116.30,0.30,-0.50,-1.05,-0.04,0.15,
16723,-2.25,-82.08,1.06,0.01,-0.25,-0.26,-120.54,-4.07,0.43,-1.05,-0.04,0.14,
16803,0.05,-89.34,1.08,0.01,-0.28,-0.21,-166.57,-1.95,-0.54,-1.08,0.00,0.01,
16886,1.49,-88.32,1.03,0.01,-0.29,-0.21,56.17,-2.00,0.81,-1.03,0.03,-0.01,
16966,-1.28,-85.69,1.09,0.01,-0.27,-0.24,185.70,0.55,-0.32,-1.09,-0.02,0.08,
17046,-2.76,-80.26,1.05,0.00,-0.25,-0.26,18.59,-1.02,-0.18,-1.04,-0.05,0.17,
17126,-2.44,-83.07,1.09,0.01,-0.26,-0.24,-178.13,-3.99,3.93,-1.08,-0.05,0.12,
17206,1.99,-88.00,1.04,0.01,-0.28,-0.21,-89.18,0.88,2.63,-1.04,0.04,0.00,
17287,1.59,-87.90,1.07,0.01,-0.28,-0.21,135.30,-3.58,-1.86,-1.06,0.03,0.03,
17367,-1.49,-81.58,1.08,0.00,-0.26,-0.25,144.87,-1.64,-3.02,-1.07,-0.03,0.16,
17449,-1.99,-80.60,1.05,0.01,-0.25,-0.26,-83.41,-2.52,2.97,-1.03,-0.04,0.17,
17529,0.67,-86.67,1.09,0.00,-0.27,-0.23,-176.69,-0.04,2.47,-1.09,0.01,0.06,
17609,2.56,-87.26,1.03,0.01,-0.29,-0.20,12.19,-3.11,-0.85,-1.03,0.05,-0.02,
17690,-0.57,-86.52,1.09,0.00,-0.27,-0.23,177.60,-3.09,-1.22,-1.09,-0.01,0.07,
17770,-0.86,-59.83,1.29,0.01,-0.25,-0.25,20.52,-47.67,10.41,-1.12,-0.02,0.65,
17850,-4.60,-82.96,1.05,0.01,-0.25,-0.25,-8.28,-15.82,-5.91,-1.04,-0.08,0.10,
17932,-1.01,-87.65,1.14,0.01,-0.26,-0.25,-0.60,-8.30,-4.44,-1.14,-0.02,-0.04,
18013,-0.10,-74.00,1.21,0.00,-0.25,-0.25,36.65,16.89,2.08,-1.16,-0.00,0.33,
18093,-3.08,-86.74,1.04,0.01,-0.25,-0.26,23.92,-18.92,-2.64,-1.04,-0.06,0.02,
18173,-3.26,-86.59,1.01,0.01,-0.24,-0.27,5.09,-9.63,-4.39,-1.01,-0.06,0.02,
18253,1.50,-84.11,1.08,0.00,-0.25,-0.27,-8.94,4.54,-2.48,-1.08,0.03,-0.11,
18333,0.16,-83.30,1.05,0.00,-0.25,-0.27,-4.93,-3.39,-1.09,-1.04,0.00,0.12,
18413,1.47,-82.33,1.09,0.00,-0.25,-0.27,0.19,2.12,2.54,-1.08,0.03,0.14,
18496,-0.85,-84.96,1.12,0.00,-0.25,-0.26,-5.31,11.46,-1.86,-1.11,-0.02,0.10,
18576,6.64,-83.35,1.09,-0.01,-0.24,-0.24,-5.32,-9.73,1.45,-1.08,0.13,0.01,
18656,3.53,-84.01,1.09,-0.00,-0.25,-0.25,-7.99,13.79,1.92,-1.09,0.07,0.09,
